"Notes"	"Year"	"Year Code"	"State of Residence"	"State of Residence Code"	"Sex of Infant"	"Sex of Infant Code"	Births
	"2016"	"2016"	"Alabama"	"01"	"Female"	"F"	28860
	"2016"	"2016"	"Alabama"	"01"	"Male"	"M"	30291
	"2016"	"2016"	"Alaska"	"02"	"Female"	"F"	5444
	"2016"	"2016"	"Alaska"	"02"	"Male"	"M"	5765
	"2016"	"2016"	"Arizona"	"04"	"Female"	"F"	41514
	"2016"	"2016"	"Arizona"	"04"	"Male"	"M"	43006
	"2016"	"2016"	"Arkansas"	"05"	"Female"	"F"	18499
	"2016"	"2016"	"Arkansas"	"05"	"Male"	"M"	19775
	"2016"	"2016"	"California"	"06"	"Female"	"F"	238408
	"2016"	"2016"	"California"	"06"	"Male"	"M"	250419
	"2016"	"2016"	"Colorado"	"08"	"Female"	"F"	32587
	"2016"	"2016"	"Colorado"	"08"	"Male"	"M"	34026
	"2016"	"2016"	"Connecticut"	"09"	"Female"	"F"	17838
	"2016"	"2016"	"Connecticut"	"09"	"Male"	"M"	18177
	"2016"	"2016"	"Delaware"	"10"	"Female"	"F"	5358
	"2016"	"2016"	"Delaware"	"10"	"Male"	"M"	5634
	"2016"	"2016"	"District of Columbia"	"11"	"Female"	"F"	4737
	"2016"	"2016"	"District of Columbia"	"11"	"Male"	"M"	5121
	"2016"	"2016"	"Florida"	"12"	"Female"	"F"	109853
	"2016"	"2016"	"Florida"	"12"	"Male"	"M"	115169
	"2016"	"2016"	"Georgia"	"13"	"Female"	"F"	63962
	"2016"	"2016"	"Georgia"	"13"	"Male"	"M"	66080
	"2016"	"2016"	"Hawaii"	"15"	"Female"	"F"	8564
	"2016"	"2016"	"Hawaii"	"15"	"Male"	"M"	9495
	"2016"	"2016"	"Idaho"	"16"	"Female"	"F"	10999
	"2016"	"2016"	"Idaho"	"16"	"Male"	"M"	11483
	"2016"	"2016"	"Illinois"	"17"	"Female"	"F"	75509
	"2016"	"2016"	"Illinois"	"17"	"Male"	"M"	78936
	"2016"	"2016"	"Indiana"	"18"	"Female"	"F"	40255
	"2016"	"2016"	"Indiana"	"18"	"Male"	"M"	42836
	"2016"	"2016"	"Iowa"	"19"	"Female"	"F"	19398
	"2016"	"2016"	"Iowa"	"19"	"Male"	"M"	20005
	"2016"	"2016"	"Kansas"	"20"	"Female"	"F"	18470
	"2016"	"2016"	"Kansas"	"20"	"Male"	"M"	19583
	"2016"	"2016"	"Kentucky"	"21"	"Female"	"F"	26998
	"2016"	"2016"	"Kentucky"	"21"	"Male"	"M"	28451
	"2016"	"2016"	"Louisiana"	"22"	"Female"	"F"	31066
	"2016"	"2016"	"Louisiana"	"22"	"Male"	"M"	32112
	"2016"	"2016"	"Maine"	"23"	"Female"	"F"	6183
	"2016"	"2016"	"Maine"	"23"	"Male"	"M"	6522
	"2016"	"2016"	"Maryland"	"24"	"Female"	"F"	35754
	"2016"	"2016"	"Maryland"	"24"	"Male"	"M"	37382
	"2016"	"2016"	"Massachusetts"	"25"	"Female"	"F"	34907
	"2016"	"2016"	"Massachusetts"	"25"	"Male"	"M"	36410
	"2016"	"2016"	"Michigan"	"26"	"Female"	"F"	55310
	"2016"	"2016"	"Michigan"	"26"	"Male"	"M"	58005
	"2016"	"2016"	"Minnesota"	"27"	"Female"	"F"	34119
	"2016"	"2016"	"Minnesota"	"27"	"Male"	"M"	35630
	"2016"	"2016"	"Mississippi"	"28"	"Female"	"F"	18685
	"2016"	"2016"	"Mississippi"	"28"	"Male"	"M"	19243
	"2016"	"2016"	"Missouri"	"29"	"Female"	"F"	36418
	"2016"	"2016"	"Missouri"	"29"	"Male"	"M"	38287
	"2016"	"2016"	"Montana"	"30"	"Female"	"F"	5978
	"2016"	"2016"	"Montana"	"30"	"Male"	"M"	6304
	"2016"	"2016"	"Nebraska"	"31"	"Female"	"F"	13079
	"2016"	"2016"	"Nebraska"	"31"	"Male"	"M"	13510
	"2016"	"2016"	"Nevada"	"32"	"Female"	"F"	17778
	"2016"	"2016"	"Nevada"	"32"	"Male"	"M"	18482
	"2016"	"2016"	"New Hampshire"	"33"	"Female"	"F"	5855
	"2016"	"2016"	"New Hampshire"	"33"	"Male"	"M"	6412
	"2016"	"2016"	"New Jersey"	"34"	"Female"	"F"	50081
	"2016"	"2016"	"New Jersey"	"34"	"Male"	"M"	52566
	"2016"	"2016"	"New Mexico"	"35"	"Female"	"F"	12096
	"2016"	"2016"	"New Mexico"	"35"	"Male"	"M"	12596
	"2016"	"2016"	"New York"	"36"	"Female"	"F"	114466
	"2016"	"2016"	"New York"	"36"	"Male"	"M"	119817
	"2016"	"2016"	"North Carolina"	"37"	"Female"	"F"	58748
	"2016"	"2016"	"North Carolina"	"37"	"Male"	"M"	62031
	"2016"	"2016"	"North Dakota"	"38"	"Female"	"F"	5538
	"2016"	"2016"	"North Dakota"	"38"	"Male"	"M"	5845
	"2016"	"2016"	"Ohio"	"39"	"Female"	"F"	67449
	"2016"	"2016"	"Ohio"	"39"	"Male"	"M"	70636
	"2016"	"2016"	"Oklahoma"	"40"	"Female"	"F"	25753
	"2016"	"2016"	"Oklahoma"	"40"	"Male"	"M"	26839
	"2016"	"2016"	"Oregon"	"41"	"Female"	"F"	22153
	"2016"	"2016"	"Oregon"	"41"	"Male"	"M"	23382
	"2016"	"2016"	"Pennsylvania"	"42"	"Female"	"F"	67849
	"2016"	"2016"	"Pennsylvania"	"42"	"Male"	"M"	71560
	"2016"	"2016"	"Rhode Island"	"44"	"Female"	"F"	5281
	"2016"	"2016"	"Rhode Island"	"44"	"Male"	"M"	5517
	"2016"	"2016"	"South Carolina"	"45"	"Female"	"F"	28044
	"2016"	"2016"	"South Carolina"	"45"	"Male"	"M"	29298
	"2016"	"2016"	"South Dakota"	"46"	"Female"	"F"	5981
	"2016"	"2016"	"South Dakota"	"46"	"Male"	"M"	6294
	"2016"	"2016"	"Tennessee"	"47"	"Female"	"F"	39377
	"2016"	"2016"	"Tennessee"	"47"	"Male"	"M"	41430
	"2016"	"2016"	"Texas"	"48"	"Female"	"F"	194708
	"2016"	"2016"	"Texas"	"48"	"Male"	"M"	203339
	"2016"	"2016"	"Utah"	"49"	"Female"	"F"	24694
	"2016"	"2016"	"Utah"	"49"	"Male"	"M"	25770
	"2016"	"2016"	"Vermont"	"50"	"Female"	"F"	2800
	"2016"	"2016"	"Vermont"	"50"	"Male"	"M"	2956
	"2016"	"2016"	"Virginia"	"51"	"Female"	"F"	50401
	"2016"	"2016"	"Virginia"	"51"	"Male"	"M"	52059
	"2016"	"2016"	"Washington"	"53"	"Female"	"F"	44278
	"2016"	"2016"	"Washington"	"53"	"Male"	"M"	46227
	"2016"	"2016"	"West Virginia"	"54"	"Female"	"F"	9419
	"2016"	"2016"	"West Virginia"	"54"	"Male"	"M"	9660
	"2016"	"2016"	"Wisconsin"	"55"	"Female"	"F"	32594
	"2016"	"2016"	"Wisconsin"	"55"	"Male"	"M"	34021
	"2016"	"2016"	"Wyoming"	"56"	"Female"	"F"	3597
	"2016"	"2016"	"Wyoming"	"56"	"Male"	"M"	3789
	"2017"	"2017"	"Alabama"	"01"	"Female"	"F"	28874
	"2017"	"2017"	"Alabama"	"01"	"Male"	"M"	30067
	"2017"	"2017"	"Alaska"	"02"	"Female"	"F"	5098
	"2017"	"2017"	"Alaska"	"02"	"Male"	"M"	5347
	"2017"	"2017"	"Arizona"	"04"	"Female"	"F"	40273
	"2017"	"2017"	"Arizona"	"04"	"Male"	"M"	41599
	"2017"	"2017"	"Arkansas"	"05"	"Female"	"F"	18393
	"2017"	"2017"	"Arkansas"	"05"	"Male"	"M"	19127
	"2017"	"2017"	"California"	"06"	"Female"	"F"	229760
	"2017"	"2017"	"California"	"06"	"Male"	"M"	241898
	"2017"	"2017"	"Colorado"	"08"	"Female"	"F"	31639
	"2017"	"2017"	"Colorado"	"08"	"Male"	"M"	32743
	"2017"	"2017"	"Connecticut"	"09"	"Female"	"F"	17159
	"2017"	"2017"	"Connecticut"	"09"	"Male"	"M"	18062
	"2017"	"2017"	"Delaware"	"10"	"Female"	"F"	5290
	"2017"	"2017"	"Delaware"	"10"	"Male"	"M"	5565
	"2017"	"2017"	"District of Columbia"	"11"	"Female"	"F"	4706
	"2017"	"2017"	"District of Columbia"	"11"	"Male"	"M"	4854
	"2017"	"2017"	"Florida"	"12"	"Female"	"F"	109393
	"2017"	"2017"	"Florida"	"12"	"Male"	"M"	114237
	"2017"	"2017"	"Georgia"	"13"	"Female"	"F"	63213
	"2017"	"2017"	"Georgia"	"13"	"Male"	"M"	66030
	"2017"	"2017"	"Hawaii"	"15"	"Female"	"F"	8379
	"2017"	"2017"	"Hawaii"	"15"	"Male"	"M"	9138
	"2017"	"2017"	"Idaho"	"16"	"Female"	"F"	10858
	"2017"	"2017"	"Idaho"	"16"	"Male"	"M"	11323
	"2017"	"2017"	"Illinois"	"17"	"Female"	"F"	73096
	"2017"	"2017"	"Illinois"	"17"	"Male"	"M"	76294
